Date,Market,Risk Free,Small,Big,High B/M,Low B/M,Winner,Loser
,Mkt,Rf,S,B,H,L,U,D
194801,-3.73,0.07,-1.61,-3.79,-1.86,-2.91,-4.28,-0.11
194802,-4.34,0.07,-6.11,-4.37,-5.33,-5.34,-5.21,-6.73
194803,8.28,0.09,9.01,8.94,11.62,7.2,9.54,9.72
194804,3.78,0.08,3.14,4.52,5.92,1.93,5.66,1.59
194805,7.46,0.08,8.4,7.56,7.7,8.55,9.2,6.83
194806,-0.02,0.09,-1.11,0.51,1.19,-1.44,1.83,-2.16
194807,-5.04,0.08,-5.21,-4.89,-4.89,-4.82,-5.92,-4.39
194808,0.39,0.09,-0.71,0.37,0.07,-0.19,0.09,-0.16
194809,-2.95,0.04,-4.21,-2.93,-4.51,-2.86,-4.75,-3.49
194810,6.01,0.04,4.67,6.09,5.75,5.09,6.97,4.21
194811,-9.06,0.04,-10.7,-9.95,-13.11,-8.59,-10.76,-11.57
194812,3.22,0.04,0.62,3.15,1.4,2.88,4.19,-0.44
194901,0.3,0.1,1.82,0.34,2.1,0.69,0.13,3.05
194902,-2.95,0.09,-4.97,-2.98,-4.77,-3.97,-4.54,-4.08
194903,4.15,0.1,6.57,4.04,6.33,5.16,5.56,6.42
194904,-1.79,0.09,-2.79,-1.91,-3.04,-1.99,-1.44,-4.48
194905,-2.74,0.1,-4.17,-3.36,-5.23,-2.69,-2.58,-5.75
194906,0.31,0.1,-1.22,-0.15,-1.63,-0.05,-0.56,0.63
194907,5.58,0.09,6.55,5.87,6.22,5.91,5.39,6.94
194908,2.66,0.09,2.81,2.84,2.47,2.87,3.51,1.84
194909,3.18,0.09,4.65,3.44,4.2,4.04,4.05,5.51
194910,3.12,0.09,4.26,3.22,3.83,4.14,3.45,3.52
194911,1.88,0.08,0.68,1.67,1.21,1.73,2.04,0.75
194912,5.21,0.09,7.34,5.36,7.68,6.09,6.88,7.65
195001,1.73,0.09,5.63,1.95,4.16,3.98,2.82,5.12
