Date,HFRI EQUITY HEDGE (TOTAL) - TOT RETURN IND,HFRI FUND OF FUNDS COMPOSITE - TOT RETURN IND,HFRI FUND WEIGHTED HEDGE FUND - TOT RETURN IND,MSCI EM - TOT RETURN IND,MSCI EAFE - TOT RETURN IND,RUSSELL 2000 - PRICE INDEX,S&P 500 COMPOSITE - TOT RETURN IND,BARCLAYS US TREASURY BELLWETHERS 2Y - TOTAL RETURN MTD,BARCLAYS US TREASURY BELLWETHERS 10Y - TOTAL RETURN MTD,Barclay Currency Traders Index - TOT RETURN IND
5/30/03,0.041,0.021,0.036,0.082,0.029,0.106,0.053,0.005,0.046,0.038
6/30/03,0.015,0.007,0.013,0.043,0.035,0.017,0.013,0.002,-0.012,-0.007
7/31/03,0.024,0.002,0.013,0.063,0.043,0.062,0.018,-0.007,-0.071,-0.027
8/29/03,0.024,0.008,0.018,0.067,0.032,0.045,0.02,0,0.011,-0.007
9/30/03,0.008,0.012,0.012,-0.011,-0.021,-0.02,-0.011,0.011,0.046,0.017
10/31/03,0.031,0.015,0.024,0.089,0.052,0.083,0.057,-0.005,-0.025,0.014
11/28/03,0.011,0.006,0.011,0.01,0.003,0.035,0.009,-0.001,0.004,0.011
12/31/03,0.019,0.015,0.019,0.069,0.036,0.019,0.052,0.007,0.008,0.034
1/30/04,0.02,0.016,0.02,0.038,0.014,0.043,0.018,0.003,0.014,0.013
2/27/04,0.011,0.011,0.012,0.038,0.025,0.008,0.014,0.006,0.017,0.004
3/31/04,0.004,0.005,0.005,-0.002,0.001,0.008,-0.015,0.003,0.015,-0.011
4/30/04,-0.021,-0.009,-0.015,-0.058,0.014,-0.052,-0.016,-0.011,-0.048,-0.016
5/31/04,-0.002,-0.009,-0.003,-0.023,-0.013,0.015,0.014,-0.002,-0.007,-0.012
6/30/04,0.011,0.002,0.008,-0.002,0.025,0.041,0.019,-0.001,0.007,-0.011
7/30/04,-0.019,-0.006,-0.01,-0.016,-0.023,-0.068,-0.033,0.004,0.015,-0.007
8/31/04,-0.004,0,0.001,0.046,-0.001,-0.006,0.004,0.008,0.031,-0.011
9/30/04,0.02,0.009,0.016,0.048,0.015,0.046,0.011,-0.001,0.004,0.002
10/29/04,0.005,0.008,0.008,0.007,0.009,0.019,0.015,0.004,0.011,0.02
11/30/04,0.034,0.025,0.028,0.052,0.026,0.086,0.04,-0.006,-0.022,0.041
12/31/04,0.018,0.015,0.016,0.031,0.033,0.028,0.034,0.002,0.015,0.012
1/31/05,-0.006,0,-0.002,0.011,0.008,-0.042,-0.024,-0.001,0.01,-0.027
2/28/05,0.021,0.014,0.018,0.071,0.029,0.016,0.021,-0.003,-0.015,0
3/31/05,-0.011,-0.006,-0.009,-0.047,-0.003,-0.03,-0.018,0,-0.007,-0.005
4/29/05,-0.022,-0.014,-0.015,-0.036,-0.027,-0.058,-0.019,0.006,0.028,-0.005
5/31/05,0.016,0.002,0.01,0.045,0.042,0.064,0.032,0.004,0.017,0.015
6/30/05,0.02,0.014,0.016,0.038,0.034,0.037,0.001,0.002,0.008,0.017
7/29/05,0.029,0.017,0.023,0.068,0.037,0.063,0.037,-0.004,-0.023,-0.001
8/31/05,0.007,0.008,0.008,0.014,0.012,-0.019,-0.009,0.007,0.023,-0.014
9/30/05,0.023,0.015,0.019,0.087,0.062,0.002,0.008,-0.003,-0.021,0
10/31/05,-0.019,-0.014,-0.014,-0.055,-0.019,-0.032,-0.017,0,-0.014,0.005
11/30/05,0.021,0.017,0.017,0.074,0.045,0.047,0.038,0.003,0.005,0.015
12/30/05,0.023,0.02,0.018,0.055,0.045,-0.006,0,0.004,0.012,-0.012
1/31/06,0.04,0.029,0.035,0.082,0.035,0.089,0.026,0.001,-0.007,-0.001
2/28/06,0,0.004,0.005,0,0.009,-0.003,0.003,0.001,-0.002,-0.007
3/31/06,0.025,0.017,0.02,0.014,0.037,0.047,0.012,0.001,-0.02,-0.005
4/28/06,0.018,0.018,0.019,0.053,0.006,-0.001,0.013,0.003,-0.012,0.006
5/31/06,-0.023,-0.019,-0.016,-0.078,-0.057,-0.057,-0.029,0.001,-0.001,0.003
6/30/06,-0.005,-0.006,-0.002,0.001,0.011,0.005,0.001,0.002,0.003,-0.009
7/31/06,-0.005,-0.002,-0.002,0.011,0.007,-0.033,0.006,0.008,0.016,-0.004
8/31/06,0.01,0.008,0.01,0.029,0.029,0.029,0.024,0.007,0.022,0.004
9/29/06,0.002,0,0.002,0.014,0.014,0.007,0.026,0.005,0.012,-0.009
10/31/06,0.019,0.017,0.018,0.035,0.026,0.057,0.033,0.004,0.006,-0.001
11/30/06,0.02,0.019,0.021,0.065,0.001,0.025,0.019,0.005,0.014,0.016
12/29/06,0.013,0.018,0.015,0.04,0.043,0.002,0.014,0,-0.016,0.005
1/31/07,0.012,0.013,0.011,-0.003,0.019,0.016,0.015,0.002,-0.005,0.005
2/28/07,0.006,0.008,0.007,-0.007,-0.005,-0.009,-0.02,0.009,0.024,-0.005
3/30/07,0.01,0.01,0.01,0.033,0.02,0.009,0.011,0.004,-0.004,-0.001
4/30/07,0.019,0.017,0.018,0.034,0.03,0.017,0.044,0.003,0.005,0.008
5/31/07,0.022,0.021,0.02,0.04,0.033,0.04,0.035,-0.002,-0.017,-0.002
6/29/07,0.009,0.007,0.007,0.047,-0.002,-0.016,-0.017,0.005,-0.007,0.007
7/31/07,0.002,0.003,0.001,0.049,-0.032,-0.069,-0.031,0.009,0.025,-0.003
8/31/07,-0.017,-0.022,-0.015,-0.009,-0.014,0.022,0.015,0.011,0.021,-0.001
9/28/07,0.032,0.022,0.027,0.084,0.023,0.016,0.037,0.007,0.001,0.008
10/31/07,0.031,0.031,0.028,0.09,0.024,0.028,0.016,0.004,0.012,0.01
11/30/07,-0.029,-0.015,-0.022,-0.062,-0.041,-0.073,-0.042,0.019,0.042,0.001
12/31/07,0.005,0.004,0.005,0.006,-0.012,-0.002,-0.007,0.002,-0.002,-0.002
1/31/08,-0.045,-0.029,-0.027,-0.124,-0.109,-0.069,-0.06,0.019,0.035,-0.002
2/29/08,0.013,0.014,0.015,0.061,-0.007,-0.038,-0.032,0.012,0.011,0.009
3/31/08,-0.028,-0.027,-0.022,-0.042,-0.038,0.003,-0.004,0.002,0.011,0.009
4/30/08,0.024,0.01,0.016,0.073,0.076,0.041,0.049,-0.011,-0.024,-0.004
5/30/08,0.024,0.017,0.019,0.019,0.014,0.045,0.013,-0.004,-0.02,0.002
6/30/08,-0.024,-0.009,-0.013,-0.099,-0.089,-0.078,-0.084,0.003,0.008,-0.004
7/31/08,-0.028,-0.027,-0.023,-0.05,-0.02,0.036,-0.008,0.005,0.004,-0.002
8/29/08,-0.022,-0.015,-0.014,-0.048,0.01,0.035,0.014,0.006,0.018,0.001
9/30/08,-0.081,-0.065,-0.061,-0.124,-0.121,-0.081,-0.089,0.01,0.002,0.003
10/31/08,-0.095,-0.062,-0.068,-0.223,-0.155,-0.209,-0.168,0.011,-0.008,0.014
11/28/08,-0.038,-0.026,-0.027,-0.04,-0.047,-0.12,-0.072,0.013,0.09,0.003
12/31/08,0.002,-0.015,0.002,0.046,0.012,0.056,0.011,0.007,0.063,0.006
1/30/09,-0.009,0.007,-0.001,-0.029,-0.062,-0.112,-0.084,-0.002,-0.046,0
2/27/09,-0.022,-0.004,-0.012,-0.028,-0.076,-0.123,-0.106,-0.001,-0.013,-0.002
3/31/09,0.029,0,0.017,0.105,0.039,0.087,0.088,0.006,0.033,-0.002
4/30/09,0.054,0.011,0.036,0.122,0.116,0.153,0.096,-0.001,-0.034,-0.003
5/29/09,0.064,0.033,0.051,0.125,0.054,0.029,0.056,0.002,-0.027,0.011
6/30/09,0.002,0.004,0.002,-0.013,-0.003,0.013,0.002,-0.002,-0.002,-0.002
7/31/09,0.032,0.015,0.025,0.099,0.077,0.095,0.076,0.002,0.005,0.001
8/31/09,0.014,0.011,0.013,0.001,0.044,0.028,0.036,0.004,0.01,-0.002
9/30/09,0.032,0.017,0.028,0.063,0.022,0.056,0.037,0.002,0.011,0.007
10/30/09,-0.007,-0.001,-0.002,-0.004,-0.023,-0.069,-0.019,0.003,-0.004,0.003
11/30/09,0.016,0.008,0.015,0.033,0.002,0.03,0.06,0.006,0.018,0.001
12/31/09,0.021,0.008,0.013,0.042,0.056,0.079,0.019,-0.008,-0.049,-0.003
1/29/10,-0.013,-0.004,-0.008,-0.044,-0.034,-0.037,-0.036,0.008,0.022,0.001
2/26/10,0.009,0.001,0.007,-0.001,0.005,0.044,0.031,0.002,0.005,0.003
3/31/10,0.032,0.017,0.025,0.062,0.075,0.08,0.06,-0.003,-0.017,0.007
4/30/10,0.012,0.009,0.012,0.001,-0.012,0.056,0.016,0.003,0.017,0.007
5/31/10,-0.04,-0.026,-0.029,-0.052,-0.072,-0.077,-0.08,0.005,0.032,0.008
6/30/10,-0.018,-0.009,-0.01,-0.005,-0.028,-0.079,-0.052,0.004,0.032,-0.005
7/30/10,0.024,0.008,0.016,0.062,0.047,0.068,0.07,0.002,0.006,0.006
8/31/10,-0.014,0.001,-0.001,-0.014,-0.027,-0.075,-0.045,0.002,0.04,-0.007
9/30/10,0.047,0.023,0.035,0.077,0.052,0.123,0.089,0.002,-0.001,0.011
10/29/10,0.024,0.015,0.021,0.023,0.018,0.04,0.038,0.002,-0.006,0.005
11/30/10,0.006,-0.001,0.002,-0.011,-0.01,0.034,0,-0.002,-0.01,-0.008
12/31/10,0.035,0.022,0.029,0.045,0.048,0.078,0.067,-0.002,-0.04,0.006
1/31/11,0.004,0.001,0.004,-0.021,0.016,-0.003,0.024,0.002,-0.004,-0.007
2/28/11,0.013,0.008,0.012,-0.014,0.024,0.054,0.034,-0.001,0,-0.002
3/31/11,0.005,-0.001,0.001,0.043,-0.028,0.024,0,-0.001,0,0.011
4/29/11,0.013,0.012,0.015,0.008,0.02,0.026,0.03,0.005,0.016,0.017
5/31/11,-0.013,-0.011,-0.012,-0.016,-0.013,-0.02,-0.011,0.004,0.027,-0.009
6/30/11,-0.013,-0.013,-0.012,-0.019,-0.012,-0.025,-0.017,0.001,-0.007,-0.008
7/29/11,-0.003,0.004,0.002,-0.009,-0.035,-0.037,-0.02,0.002,0.033,0.006
8/31/11,-0.049,-0.026,-0.032,-0.073,-0.087,-0.088,-0.054,0.004,0.057,-0.012
9/30/11,-0.06,-0.028,-0.039,-0.074,-0.043,-0.114,-0.07,-0.001,0.028,0.014
10/31/11,0.049,0.011,0.027,0.091,0.062,0.15,0.109,0,-0.02,0
11/30/11,-0.02,-0.01,-0.013,-0.038,-0.025,-0.005,-0.002,0,0.013,0.01
12/30/11,-0.009,-0.004,-0.004,0,0.005,0.005,0.01,0,0.02,0.003
1/31/12,0.038,0.019,0.026,0.074,0.039,0.07,0.045,0.001,0.008,0
