Date,HFRI EQUITY HEDGE (TOTAL) - TOT RETURN IND,HFRI FUND OF FUNDS COMPOSITE - TOT RETURN IND,HFRI FUND WEIGHTED HEDGE FUND - TOT RETURN IND,MSCI EM - TOT RETURN IND,MSCI EAFE - TOT RETURN IND,RUSSELL 2000 - PRICE INDEX,S&P 500 COMPOSITE - TOT RETURN IND,BARCLAYS US TREASURY BELLWETHERS 2Y - TOTAL RETURN MTD,BARCLAYS US TREASURY BELLWETHERS 10Y - TOTAL RETURN MTD,Barclay Currency Traders Index - TOT RETURN IND
5/31/07,2.20%,2.10%,2.00%,4.00%,3.30%,4.00%,3.50%,-0.20%,-1.70%,-0.20%
6/29/07,0.90%,0.70%,0.70%,4.70%,-0.20%,-1.60%,-1.70%,0.50%,-0.70%,0.70%
7/31/07,0.20%,0.30%,0.10%,4.90%,-3.20%,-6.90%,-3.10%,0.90%,2.50%,-0.30%
8/31/07,-1.70%,-2.20%,-1.50%,-0.90%,-1.40%,2.20%,1.50%,1.10%,2.10%,-0.10%
9/28/07,3.20%,2.20%,2.70%,8.40%,2.30%,1.60%,3.70%,0.70%,0.10%,0.80%
10/31/07,3.10%,3.10%,2.80%,9.00%,2.40%,2.80%,1.60%,0.40%,1.20%,1.00%
11/30/07,-2.90%,-1.50%,-2.20%,-6.20%,-4.10%,-7.30%,-4.20%,1.90%,4.20%,0.10%
12/31/07,0.50%,0.40%,0.50%,0.60%,-1.20%,-0.20%,-0.70%,0.20%,-0.20%,-0.20%
1/31/08,-4.50%,-2.90%,-2.70%,-12.40%,-10.90%,-6.90%,-6.00%,1.90%,3.50%,-0.20%
2/29/08,1.30%,1.40%,1.50%,6.10%,-0.70%,-3.80%,-3.20%,1.20%,1.10%,0.90%
3/31/08,-2.80%,-2.70%,-2.20%,-4.20%,-3.80%,0.30%,-0.40%,0.20%,1.10%,0.90%
4/30/08,2.40%,1.00%,1.60%,7.30%,7.60%,4.10%,4.90%,-1.10%,-2.40%,-0.40%
5/30/08,2.40%,1.70%,1.90%,1.90%,1.40%,4.50%,1.30%,-0.40%,-2.00%,0.20%
6/30/08,-2.40%,-0.90%,-1.30%,-9.90%,-8.90%,-7.80%,-8.40%,0.30%,0.80%,-0.40%
7/31/08,-2.80%,-2.70%,-2.30%,-5.00%,-2.00%,3.60%,-0.80%,0.50%,0.40%,-0.20%
8/29/08,-2.20%,-1.50%,-1.40%,-4.80%,1.00%,3.50%,1.40%,0.60%,1.80%,0.10%
9/30/08,-8.10%,-6.50%,-6.10%,-12.40%,-12.10%,-8.10%,-8.90%,1.00%,0.20%,0.30%
10/31/08,-9.50%,-6.20%,-6.80%,-22.30%,-15.50%,-20.90%,-16.80%,1.10%,-0.80%,1.40%
11/28/08,-3.80%,-2.60%,-2.70%,-4.00%,-4.70%,-12.00%,-7.20%,1.30%,9.00%,0.30%
12/31/08,0.20%,-1.50%,0.20%,4.60%,1.20%,5.60%,1.10%,0.70%,6.30%,0.60%
1/30/09,-0.90%,0.70%,-0.10%,-2.90%,-6.20%,-11.20%,-8.40%,-0.20%,-4.60%,0.00%
2/27/09,-2.20%,-0.40%,-1.20%,-2.80%,-7.60%,-12.30%,-10.60%,-0.10%,-1.30%,-0.20%
3/31/09,2.90%,0.00%,1.70%,10.50%,3.90%,8.70%,8.80%,0.60%,3.30%,-0.20%
4/30/09,5.40%,1.10%,3.60%,12.20%,11.60%,15.30%,9.60%,-0.10%,-3.40%,-0.30%
5/29/09,6.40%,3.30%,5.10%,12.50%,5.40%,2.90%,5.60%,0.20%,-2.70%,1.10%
6/30/09,0.20%,0.40%,0.20%,-1.30%,-0.30%,1.30%,0.20%,-0.20%,-0.20%,-0.20%
7/31/09,3.20%,1.50%,2.50%,9.90%,7.70%,9.50%,7.60%,0.20%,0.50%,0.10%
8/31/09,1.40%,1.10%,1.30%,0.10%,4.40%,2.80%,3.60%,0.40%,1.00%,-0.20%
9/30/09,3.20%,1.70%,2.80%,6.30%,2.20%,5.60%,3.70%,0.20%,1.10%,0.70%
10/30/09,-0.70%,-0.10%,-0.20%,-0.40%,-2.30%,-6.90%,-1.90%,0.30%,-0.40%,0.30%
11/30/09,1.60%,0.80%,1.50%,3.30%,0.20%,3.00%,6.00%,0.60%,1.80%,0.10%
