Fund Name,Firm Name,Fund Size US$ Bil.,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,,,,,,,,,,,,,,,,,,,SECID,Firm Total Assets,Firm Total Assets Date
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04HTR,"383,101,200.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05L82,"552,713,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04H4A,"1,000,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA0903M,"193,500,000.00",5/31/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04FLF,"193,500,000.00",5/31/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06Y0J,"193,500,000.00",5/31/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04DYS,"270,000,000.00",12/31/09
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04GRD,"3,345,067,000,000.00",9/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04CFP,"1,003,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04D0J,"947,704,929.00",10/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA09KGP,"2,939,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05LE8,"1,131,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA09KFS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000JVON,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04DU4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000JULK,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04ET3,"1,050,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA0906W,"1,569,196,812.00",6/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA07XZL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08ZSF,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA07ZPH,"4,600,000,000.00",8/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04AT6,"400,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000MEDR,"400,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05LES,"400,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06LEK,"2,410,439,237.00",12/31/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08Z52,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F000000CRU,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06U38,"698,000,000.00",5/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04B6J,"333,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04GWS,"994,000,000.00",10/31/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000MCP5,"1,236,200,000.00",3/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08Z38,"11,300,000,000.00",1/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06N2I,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000MDA9,"1,854,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F000000COI,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04GBQ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F0GBR0557B,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F0GBR05TON,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08S8Y,"411,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000ITSG,"6,186,841,665.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F0000040P1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04B1N,"923,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06U5X,"1,500,000,000.00",4/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04GF1,"6,870,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06IS2,"4,601,700,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000GW8W,"7,000,000,000.00",8/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06R29,"16,725,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08RKM,"3,189,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08QPR,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08QPS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05L6M,"338,160,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04E9S,"1,518,850,000.00",11/30/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04FPR,"1,700,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05LB7,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04GXZ,"1,633,236,935.00",11/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04BRB,"9,138,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04F1G,"14,278,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000LOQN,"8,355,000,000.00",11/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000ITAN,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04I8Q,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000NO7L,"2,137,678,976.00",11/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA09G66,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08ZSG,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000LPPE,"8,355,000,000.00",11/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05L8Y,"1,495,300,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06LPY,"1,701,023,987.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000LZ77,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000MG65,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04AVP,"1,470,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04ER9,"193,083.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06MCE,"2,078,306,870.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000IRS3,"530,335,686.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000IRRJ,"530,335,686.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06C4Y,"1,518,850,000.00",11/30/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08ZKN,"600,414,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04G5K,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08ZJU,"951,874,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08ZRO,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F0GBR06BDJ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F000000CQM,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F0GBR052T0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOGBR05U2G,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04GFA,"544,326.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA09GLG,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F000005PP7,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04CUD,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05XP4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04B6O,"2,270,017,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08OQ7,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04C1V,"1,800,000,000.00",4/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06JIV,"6,629,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08ZIS,"2,812,000,000.00",9/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06VOX,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F0000007SD,"16,971,700,000.00",11/30/03
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000IS6V,"2,450,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05XO6,"270,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05KY2,"6,629,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08S8N,"8,000,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F0GBR05T5B,"1,940,000,000.00",3/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04C18,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04GEA,"2,137,678,976.00",11/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04B9T,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04B9U,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04CHJ,"225,448,775.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000GYEG,"7,000,000,000.00",8/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04B6P,"2,270,017,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06HJS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06HJT,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04GGL,"62,954,097,367.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08ZJV,"951,874,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04EUR,"998,760,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08PI3,"333,000,000.00",4/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F0GBR06BF0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F0GBR06BF2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F000000EZM,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA0905R,"313,000,000.00",11/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000IS76,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000MUIF,"740,100,000.00",8/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06IS1,"1,261,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05LDT,"333,000,000.00",4/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04FL5,"778,038,009.00",7/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04IEE,"1,603,930,177.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000H0P3,"1,000,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05KXY,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000JNR4,"137,000,000.00",12/31/09
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04EX7,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F000000FHK,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000N2DW,"18,000,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04FL8,"778,038,009.00",7/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000LYTW,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05KZN,"1,000,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000JRTR,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04HLT,"1,807,710,000.00",9/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05KVH,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA088B0,"24,527,000.00",12/31/09
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08PUZ,"760,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05L7B,"193,083.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04HK3,"371,800,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000HHJW,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000IT7I,"579,380,841.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04ICO,"430,000,000.00",10/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06SF4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08OSO,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA07YFH,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA07YFI,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000LXXU,"464,000,000.00",7/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F000000CNW,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA09KEA,"200,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA07XPO,"105,900,000.00",11/30/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04D0F,"200,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04DU5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05LHA,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04HCI,"4,600,000,000.00",8/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000LVQY,"326,814,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F000000CHH,"2,140,000,000.00",11/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08MMT,"195,392,303.00",11/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04F2Z,"428,610,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08XLD,"1,854,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04I8U,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04DF6,"194,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05L7H,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA07CB7,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08SMD,"300,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04BP8,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05L20,"583,796,784.00",11/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04F31,"428,610,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04APQ,"239,602,688.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04APR,"239,602,688.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04H45,"219,700,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04C34,"413,876,609.00",1/31/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08ORO,"413,876,609.00",1/31/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08ORR,"413,876,609.00",1/31/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08ORT,"413,876,609.00",1/31/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08ORX,"413,876,609.00",1/31/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05L8A,"11,362,800,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04FVT,"1,000,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04ASH,"1,456,470,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06MUS,"29,706,000,000.00",6/30/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04BNV,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000NBJD,"43,619,000,000.00",9/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000JP4S,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04BLN,"542,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04F8U,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04F8W,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08PWW,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04AOJ,"2,800,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04AV0,"190,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA090C9,"3,152,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04F5Y,"3,152,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000ITSK,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05L9V,"185,700,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA090FL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F0GBR06D4N,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F0GBR06F2G,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04CJ7,"414,870,211.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08YA4,"539,260,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06L88,"12,900,000,000.00",10/31/09
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04CNE,"8,610,202,091.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000ISTJ,"341,600,000.00",10/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08SP7,"2,078,306,870.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000N60I,"10,869,500,000.00",4/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04BPO,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04BPP,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000M9OK,"10,869,500,000.00",4/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06JTF,"22,598,000,000.00",9/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04HPU,"923,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04EW4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04FM7,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F0GBR06C5D,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F0GBR06C5H,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F0GBR06C5I,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04CKW,"700,000,000.00",11/30/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000LJ5D,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04BLR,"266,407,812.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04C8R,"12,900,000,000.00",10/31/09
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04FZM,"193,000,000.00",12/31/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06R0K,"4,700,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04DDQ,"8,428,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04AR7,"745,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000MHWB,"16,971,700,000.00",11/30/03
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04D1X,"201,900,000.00",6/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04C7I,"946,800,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08PX9,"927,800,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F000000CGA,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08Y9A,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04EVP,"431,448,134.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04CEQ,"1,427,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05LEV,"709,371,621.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05LEW,"709,371,621.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000LKQ6,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04CFK,"730,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05L8Z,"1,495,300,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000MA80,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000NK3Z,"519,181,988.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000NK3T,"519,181,988.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04F4X,"1,332,400,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000H5EH,"664,700,000.00",4/30/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000LZ76,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000MGF0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000MGF1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04HSP,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000IRNR,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000IRNT,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05L9B,"8,355,000,000.00",11/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA07XX3,"175,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000JR4I,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04B90,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04B91,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06U33,"208,782,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05LJ3,"1,000,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06HVI,"1,600,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04HK6,"238,689,332.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05LAS,"238,689,332.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05LI3,"3,636,800,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08PCF,"262,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04F5M,"904,000,000.00",10/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000H5MS,"423,700,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06J1T,"438,926,000.00",11/30/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04CG3,"2,329,114,054.00",7/31/09
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04B9R,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04ESK,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05LK0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06HQZ,"14,200,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04AM1,"669,983,947.00",9/30/11
